query,category,subcategory
My face is breaking out with red bumps,acne,inflammatory_acne
I have blackheads on my nose,acne,comedonal_acne
What can I use for pimples on my forehead,acne,treatment
How do I get rid of acne scars,acne,post_acne
My skin is very oily by midday,oily_skin,general
Best products for oily acne-prone skin,oily_skin,product_recommendation
My T-zone is so shiny,oily_skin,general
How to control oil production,oily_skin,treatment
My face feels tight and flaky,dry_skin,general
I have dry patches around my mouth,dry_skin,general
Best moisturizer for very dry skin,dry_skin,product_recommendation
My skin is peeling after using retinol,dry_skin,irritation
What causes dry skin in winter,dry_skin,causes
I have an oily T-zone but dry cheeks,combination_skin,general
How to care for combination skin,combination_skin,routine
Products for combination skin type,combination_skin,product_recommendation
My skin gets red easily,sensitive_skin,general
I react to most skincare products,sensitive_skin,allergic_reaction
Burning sensation after applying cream,sensitive_skin,irritation
Best gentle cleanser for sensitive skin,sensitive_skin,product_recommendation
Fragrance-free products for reactive skin,sensitive_skin,product_recommendation
My skin stings when I use products,sensitive_skin,irritation
I have itchy red patches on my arms,eczema,symptoms
Eczema flare-up on hands,eczema,flare_up
Best cream for atopic dermatitis,eczema,treatment
My eczema gets worse in winter,eczema,triggers
How to prevent eczema flare-ups,eczema,prevention
I have thick scaly patches on my elbows,psoriasis,symptoms
Red patches covered with silvery scales,psoriasis,symptoms
Psoriasis treatment options,psoriasis,treatment
My psoriasis is getting worse,psoriasis,flare_up
Brown spots on my face,hyperpigmentation,melasma
Dark spots after acne,hyperpigmentation,post_inflammatory
Sun damage and age spots,hyperpigmentation,sun_damage
How to fade dark spots,hyperpigmentation,treatment
Uneven skin tone on face,hyperpigmentation,general
Best products for pigmentation,hyperpigmentation,product_recommendation
Vitamin C for dark spots,hyperpigmentation,ingredients
My skin is starting to wrinkle,aging,wrinkles
Fine lines around my eyes,aging,wrinkles
Sagging skin on jawline,aging,sagging
How to prevent premature aging,aging,prevention
Best anti-aging ingredients,aging,ingredients
Retinol for wrinkles,aging,treatment
My skin looks dull and tired,aging,dullness
Loss of firmness in skin,aging,sagging
I got sunburned at the beach,sun_damage,sunburn
Dark spots from sun exposure,sun_damage,hyperpigmentation
How to protect skin from sun,sun_damage,prevention
Best sunscreen for daily use,sun_damage,product_recommendation
SPF 30 or SPF 50,sun_damage,product_recommendation
Sunscreen for acne-prone skin,sun_damage,product_recommendation
My skin burns easily in the sun,sun_damage,general
I have enlarged pores on my nose,pores,enlarged_pores
How to minimize pore appearance,pores,treatment
Clogged pores on chin,pores,clogged_pores
Best products to shrink pores,pores,product_recommendation
What is rosacea,rosacea,general
